abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
coincidence	n::巧合，符合，巧合的事例	coincidence rate::符合率；符合计数率¦by coincidence::碰巧
collaboration	n::协作，合作	in collaboration with::与…勾结；与…合作¦collaboration diagram::协作图
collapse	v&n::倒塌；(精神)垮下来	collapse mechanism::破坏机构¦collapse strength::抗挤强度；破裂强度¦collapse load::损毁荷载，极限载荷；破坏负荷；临界纵向荷载
collide	v::猛冲，冲突，抵触	collide with::冲突
collision	n::碰，幢;冲突	collision detection::[计]碰撞检测；[计]冲突检出¦collision avoidance::碰撞避免，冲突避免¦in collision::相撞；在冲突中¦collision course::导致冲突的轨迹；碰撞航向¦collision accident::碰撞事故；空中相撞事故¦collision frequency::碰撞频率¦collision theory::碰撞理论¦continental collision::大陆碰撞¦head-on collision::对正碰撞，正碰¦inelastic collision::非弹性碰撞¦elastic collision::弹性碰撞¦collision domain::碰撞域；冲突域
compliance	n::遵守，依从	compliance with::符合；遵守¦in compliance with::按照…¦regulatory compliance::法规遵从¦social compliance::社会责任¦compliance audit::合规性审计；符合规章审计；法规符合审计¦patient compliance::病人的依从性；病人的配合度¦creep compliance::蠕变柔量¦tax compliance::税收遵从；守法纳税¦legal compliance::遵纪守法¦compliance test::验证检验；符合性程序¦compliance method::柔度法¦certificate of compliance::符合证明；一致的证明；合约完成证明书¦compliance officer::合规官员；监察主任
complicated	adj::结构复杂的；困难的	complicated structure::复式构造¦complicated fault::复杂断层¦be complicated by::并发
complication	n::结构复杂，麻烦	
compliment	n::敬意，赞扬；问候¦v::恭维；称赞	compliment someone on::称赞某人的…¦left-handed compliment::言不由衷(或挖苦人)的恭维话
comply	v::遵守，照做	comply with::照做，遵守
component	n::组成部分；零件	component analysis::分量分析；[化]组分分析；组成成分分析¦principal component::主成分；[化]知组分¦principal component analysis::主成分分析¦key component::主要组成部份；关键组分¦component part::构件；组成部份¦major component::主要部件；主要元件¦active component::活性组分；有效元件；作用分量¦electronic component::电子元件¦essential component::主要部件；主要成分¦single component::单组分；单个部件¦software component::软件构件；软体部件¦basic component::基本组件；碱性组分¦frequency component::频率分量¦system component::系统组件；系统单元¦structural component::结构零件；结构组件；结构部件¦functional component::功能组成部分，功能部件¦component object model::组件对象模型¦hardware component::硬件组件；硬件成分¦control component::控制元件¦fundamental component::基本成份；基波分量
compose	v::组成，构成；创作；排字；使安静	compose oneself::镇静¦compose of::由…组成
composite	adj::合成的，复合的	composite material::复合材料¦composite structure::组合结构；复合机构；混合结构¦composite index::复合指标；财经综合指数¦fiber composite::复合材料，混合纤维¦composite beam::复合梁；合成梁；混合梁¦composite plate::[冶]复合板；[冶]复合镀层¦composite fiber::复合纤维；混合纤维¦composite board::复合板；合成板；多层纸板；复合纸板¦composite steel::复合钢¦composite pile::复合桩；组合桩；混合桩¦composite wall::组合墙，复合墙¦composite family::[植]菊科；牧草科¦central composite design::中心合成设计¦composite paper::复合纸¦nasdaq composite index::纳斯达克综合指数¦composite construction::组合构造¦composite function::复合函数¦composite force::合力¦composite indicator::综合指标¦composite action::混合作用
compound	n&a::混合物(的)，复合词(的)；院子(的)	compound fertilizer::复合肥料¦organic compound::n. 有机化合物¦chemical compound::[化]化合物¦compound die::复式压模¦complex compound::络合物¦rubber compound::橡胶配合物；橡胶封口胶¦inorganic compound::n. 无机化合物¦molding compound::模塑料；模制原料¦compound interest::复利¦aromatic compound::芳香族化合物；芳族化合物¦intermetallic compound::金属互化物¦coordination compound::[化]配位化合物¦heterocyclic compound::[化]杂环化合物¦compound word::复合词¦compound feed::配合饲料¦compound eye::（昆虫的）复眼¦compound semiconductor::化合物半导体；复合半导体¦compound sentence::并列复合句¦phenolic compound::酚类化合物，酚类复合物¦compound wall::组合墙；多层壁
compress	v::使语言精炼，压缩	hot compress::热敷法¦cold compress::冷敷法；冷敷布
comprise	n::(止血用)敷布	be comprised of::由…组成
compromise	n::妥协，折衷¦v::妥协；使遭受危害	reach a compromise::达成妥协¦make a compromise::妥协；折衷；做出让步¦missouri compromise::密苏里妥协案
compulsory	adj::义务的；强制的	compulsory education::义务教育¦compulsory course::必修课¦compulsory insurance::强制保险¦compulsory license::强制许可¦nine-year compulsory education::九年制义务教育¦compulsory subject::必修课¦compulsory execution::强制执行¦compulsory measure::强制手段¦compulsory exercise::规定动作¦china compulsory certification::中国强制认证（3C认证）¦compulsory purchase::强制购买
compute	v::计算，估计	beyond compute::不可计量，无法计算；难以估计
conceal	v::隐藏，隐蔽	
concede	v::承认; 给予	
conceive	v::想出(主意)；怀孕	conceive of::设想；想象
concentrate	v::集中，全神贯注于；浓缩¦n::浓缩物	concentrate on::集中精力于；全神贯注于¦copper concentrate::铜精矿¦ore concentrate::精矿¦zinc concentrate::锌精矿；精炼锌¦protein concentrate::浓缩蛋白；蛋白质精料¦iron ore concentrate::铁精矿，铁精砂¦lead concentrate::铅精矿；铅精矿砂¦magnetite concentrate::磁铁精矿¦soy protein concentrate::大豆浓缩蛋白；[医]浓缩大豆蛋白¦rough concentrate::粗精矿¦concentrate upon::专心于；集中在
conception	n::概念的形成，概念，想法；怀孕	artistic conception::意境¦immaculate conception::[宗]无沾成胎说；圣灵感孕说¦conception rate::受胎率；受孕率
concern	"n::所关切的事；企业；关心v影响,涉及,关心¦n::"	concern oneself::◎从事,忙于(常与with, about, in, over连用)¦of concern::重要的；具有意义¦concern about::对…表示担心/忧虑；使（自己）关心…¦concern oneself in::adj. 干预；从事（参与；从事参与）；干涉¦concern with::v. 使关心，挂念¦concern over::对…的关心／忧虑¦public concern::公众关注¦primary concern::主要关心的事¦ultimate concern::终极关怀¦with concern::关切地¦as concerns::关于；就…而论¦going concern::继续经营企业¦grave concern::严重关切¦show one's concern for::对...表示关心或忧虑¦business concern::企业；商行¦express concern::表达关注¦cause concern::提起注意¦of no concern::无关紧要，没有意义¦issue of common concern::共同关心的问题
concerted	adj::商定的，一致的	concerted effort::齐心协力¦concerted action::一致行动；协同动作¦make concerted efforts::共同努力
contemplate	v::仔细考虑；注视；打算；预计	
contemporary	adj::同时代的，当代的¦n::同龄人，同时代的人	contemporary art::当代艺术¦contemporary literature::n. 现代文学¦the contemporary era::当代¦contemporary western philosophy::当代西方哲学
contempt	n::轻蔑；不尊敬，轻视	contempt of court::蔑视法庭；对法院的藐视罪¦in contempt of::不顾；不把…放在眼里；藐视¦beneath contempt::卑鄙到极点的
contend	v::斗争，竞争，争论	contend with::对付；与…作斗争
content	n&a&vt::满意(的)，满足(的)；使满意(足)	main content::主要内容¦water content::含水量¦moisture content::水分含量；含湿量¦content with::满足于…；对…感到满意¦protein content::蛋白质含量¦carbon content::n. 碳含量¦oxygen content::氧含量，血氧含量¦sulfur content::含硫量，硫分；硫含量¦oil content::含油量；油份¦sugar content::糖含量¦solid content::固体含量；固形物¦content analysis::内容分析¦acid content::酸性含量¦information content::信息量；资讯量¦nitrogen content::含氮量；总氮量¦chlorophyll content::叶绿素含量¦ash content::灰分含量，含灰量¦technology content::科技含量¦gas content::含气量；气体含量¦content management::内容管理
contention	n::竞争，斗争；争论	bone of contention::争论的焦点；争端的原因¦contention window::[通讯]竞争窗口¦resource contention::资源冲突；资源竞争
contest	v::争论，争义，斗争¦n::争夺，竞争；比赛	speech contest::演讲比赛¦contest for::和...对抗（后接物）¦beauty contest::选美比赛¦singing contest::歌唱比赛¦contest with::争夺¦no contest::无赛事；无竞争；不抗辩；无争议¦close contest::势均力敌的竞争(指竞选等)¦enter the contest::加入竞赛；参加比赛¦fishing contest::钓鱼比赛
context	n::上下文，(事情)来龙去脉	in the context of::在…情况下；在…背景下¦in this context::关于这点；由此而论；由于这个原因；在这个背景下¦cultural context::文化环境，文化脉络¦social context::社会背景；社会环境；社会情境¦context menu::上下文菜单；右键菜单；快显功能表；快捷菜单¦linguistic context::语言语境；语言的前后关系¦out of context::断章取义；脱离上下文¦device context::设备描述表¦context of situation::语言环境；情景上下文¦context switch::上下文切换；环境切换；关联转换
contingency	n::偶然，偶然事件	contingency plan::应急计划，意外事件计划¦contingency planning::应急计划¦contingency table::列联表；相依表¦contingency theory::权变理论
