abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
backup	'bæk,ʌp	ˈbækʌp	n::后补，援助	backup and recovery::备份与恢复¦backup and restore::备份与还原¦backup system::备用系统；后备系统¦backup roll::支承辊；背辊；压辊¦backup copy::副本；备份件¦backup file::备份文件¦backup software::文件备份¦backup device::备份设备；备用设备¦full backup::全部备份¦system backup::系统备份；系统后备¦backup storage::n. 后备存储器¦file backup::文件备份；档案备份	There is no emergency back-up immediately available.::没有立即就能获得的后备。
bacteria	bæk'tɪrɪə	bæk'tɪərɪə	n::细菌	lactic acid bacteria::乳酸菌¦pathogenic bacteria::致病菌；病原菌¦photosynthetic bacteria::光合细菌¦harmful bacteria::有害细菌；病菌¦anaerobic bacteria::厌氧细菌，厌氧菌；嫌气细菌¦sulfate reducing bacteria::硫酸盐还原菌¦coliform bacteria::大肠型细菌¦aerobic bacteria::需氧细菌；好氧细菌¦heterotrophic bacteria::异养细菌¦acetic acid bacteria::醋酸菌；乙酸菌；醋酸细菌¦denitrifying bacteria::反硝化细菌¦intestinal bacteria::肠道细菌¦nitrifying bacteria::硝化细菌；硝化菌¦methane bacteria::甲烷菌；甲烷细菌¦iron bacteria::铁细菌¦gram negative bacteria::革兰氏阴性细菌¦symbiotic bacteria::共生菌¦sulphate reducing bacteria::硫酸还原物	Is it possible to multiply bacteria in the laboratory?::有可能在实验室繁殖细菌吗?¦When you eat off the plate, all of those bacteria go into your stomach.::当你吃掉了盘子里的食物时，这些细菌就会进入你的肚子。
ballet	bæ'le	'bæleɪ	n::芭蕾	ballet dancer::芭蕾舞蹈家¦water ballet::[体]花样游泳；水上芭蕾舞	We’re going to the ballet tomorrow evening.::我们明天晚上要去看芭蕾舞演出。
barely	'bɛrli	ˈbɛəli	adv::几乎不，仅仅		She was barely aware of his presence.::她几乎没有注意到他的存在。¦Joe and his brother are barely on speaking terms.::乔和他哥哥几乎不说话。
barrier	'bærɪɚ	'bærɪə(r)	n::障碍，阻碍	trade barrier::贸易壁垒¦language barrier::n. 语言障碍¦barrier reef::堡礁；堤礁¦thermal barrier::热障；保温层；绝热层¦great barrier reef::大堡礁¦blood-brain barrier::血脑屏障；血脑障壁¦tariff barrier::关税壁垒¦barrier property::防护性能；隔离性，不透气性¦sound barrier::声障（等于sonic barrier）¦barrier layer::阻挡层；势垒层¦potential barrier::势垒；位垒¦non-tariff barrier::非关税壁垒¦noise barrier::隔音屏障；隔声板¦blood brain barrier::血脑屏障¦moisture barrier::防潮层¦natural barrier::天然屏障；天然堤¦safety barrier::安全势垒，安全栅；停机拦截网¦fire barrier::阻火器；防火墙；防火煤柱；防火隔板¦protective barrier::遮壁；防护栏杆；防护栅障¦barrier system::屏障系统；柱式开采法；栅栏系统	He advocated the removal of trade barriers.::他提倡消除贸易壁垒。
battery	'bæt(ə)rɪ	ˈbætri	n::电池	battery of::一组；一套¦storage battery::蓄电池；蓄电池组¦lithium battery::锂电池；锂蓄电池¦battery charger::电池充电器¦in battery::(炮)准备发射的状态¦lithium ion battery::锂离子电池¦lead-acid battery::铅酸蓄电池¦battery pack::电池组¦rechargeable battery::可充电电池¦solar battery::太阳能电池¦battery charging::电池充电；蓄电池室充电¦car battery::汽车电池；车用蓄电池¦battery capacity::电池容量；蓄电池容量¦battery voltage::电池组电压¦secondary battery::二次电池；蓄电池¦lead acid battery::铅酸蓄电池；铅酸电池；密封蓄电池¦battery charge::电池充电器；蓄电池充电¦dry battery::干电池¦alkaline battery::碱性电池¦battery separator::电池隔板；蓄电池隔板	You have to take the top off to change the batteries .::你得把顶盖拿掉才能更换电池。¦When the red light comes on, you should recharge the battery .::红灯亮起的时候你就应该给电池充电了。¦The car’s got a flat battery .::汽车的蓄电池没电了。¦a battery-operated hairdryer::使用电池的吹风机
battle	'bætl	'bætl	n::激战，战役	in battle::在战斗中；在战争中¦half the battle::有助于成功的条件；成功一半¦battle with::与…战斗¦battle against::斗争；与…战斗¦battle for::为……斗争¦battle it out::打出胜负，奋力争夺¦battle field::战场¦battle line::战线；主战部队¦battle effectiveness::n. 战斗力¦losing battle::必败之仗¦battle cry::呐喊；战斗口号；标语（体育竞赛中）¦battle group::战斗群¦battle of life::生存的斗争¦have the battle::战胜¦give battle::挑战¦battle royal::混战；激战；激烈的争论¦battle of britain::不列颠之战（1940年7至10月英德空军的一系列战斗）；伦敦上空的鹰（电影名称）¦pitched battle::激战¦fall in battle::阵亡¦give the battle::v. 认输；打败仗	the Battle of Trafalgar::特拉法尔加战役¦a pitched battle (=  a long and serious battle  ) between police and drug gangs::警方和贩毒团伙之间的一场激战
bias	'baɪəs	'baɪəs	n::偏见	bias voltage::[电]偏压¦bias current::偏置电流；偏流¦on the bias::◎偏斜地，倾斜地，歪斜地¦bias circuit::偏置电路；偏压电路¦selection bias::选择性偏差¦substrate bias::衬底偏置¦reverse bias::反向偏压；逆向偏压；反偏压¦positive bias::正偏置，正偏压¦negative bias::负偏压¦current bias::栅流；电流偏置¦forward bias::[电]正向偏压；前向偏移¦cut on the bias::(裁缝等)斜裁，斜剪；斜切	Students were evaluated without bias.::对学生的评估都是公正的。
biography	baɪ'ɑɡrəfi	baɪˈɒgrəfi	n::自传		...recent biographies of Stalin.::…近年的斯大林传记。
bitter	'bɪtɚ	'bɪtə(r)	adj::痛苦的	bitter taste::味苦，苦味¦bitter cold::严寒¦bitter gourd::苦瓜，苦味葫芦¦bitter pill::困恼；苦涩的药丸¦bitter melon::苦瓜¦bitter almond::苦杏仁¦bitter orange::酸橙，臭橙；苦酸橙¦bitter end::最后；结局¦bitter salt::泻盐，硫酸镁¦bitter tea::苦茶	His photo stirred up bitter memories.::他的照片勾起了痛苦的回忆。
bizarre	bɪ'zɑr	bɪˈzɑ:(r)	adj::古怪的；奇怪的		a bizarre coincidence::奇怪的巧合¦dancers in rather bizarre costumes::身着奇装异服的舞者
blame	blem	bleɪm	v::谴责	blame for::责备；因……责备¦take the blame::承担过错¦put the blame on::归咎于…¦be to blame for::对…应负责任；应该为某事负责任¦bear the blame::承担责任	Don’t blame me – it’s not my fault.::别来怪我——又不是我的错。¦I blame his mother. She does everything for him.::怪他母亲不好，她什么事都要为他做。
blouse	blaʊs	blaʊz	n::衬衫		a silk blouse::丝质女衬衫
blueprint	'blʊ'prɪnt	'blu:prɪnt	n::蓝图，设计图		By changing the tomato’s genetic blueprint , scientists can alter the rate at which it ripens.::科学家可以通过改变番茄的基因蓝图来改变它的成熟速度。
board	bɔrd	bɔ:d	n::董事会	on board::在船（火车、飞机）上¦on the board::在董事会，将在会上讨论；在那块木板上¦circuit board::电路板；线路板¦by the board::由董事会…；向船外¦across the board::全面地；包括一切地；以三等分的钱数赌同一匹马赢得前三名¦management board::管理委员会¦printed circuit board::印刷电路板¦board chairman::n. 董事长¦bulletin board::布告牌；电子公告栏¦chairman of the board::n. 董事长；董事局主席¦message board::留言板¦board and lodging::膳宿；供应食宿¦board meeting::董事会议¦control board::控制板；仪器板¦drawing board::制图板，绘图板¦board member::董事会成员¦board of supervisors::监事会；（美）中西部及东部各州的县议会¦corrugated board::瓦楞纸板；波纹纸板¦main board::主板；主机板¦paper board::纸板	a board meeting::董事会会议¦a board member::董事会成员
boom	buːm	bu:m	n::繁荣	economic boom::经济繁荣，经济腾飞¦baby boom::婴儿潮；生育高峰¦business boom::商业繁荣，生意兴隆¦oil boom::围油栏；防油栅；油栅¦boom and bust::繁荣与萧条¦sonic boom::超音波爆声；音爆（等于sonic bang）¦telescopic boom::伸缩臂¦boom period::繁荣时期；兴旺时期¦baby boom generation::婴儿潮一代；生育高峰代¦placing boom::灌筑吊杆	The boom has created job opportunities.::经济繁荣创造了就业的机会。¦the economic boom of the 1950s::20世纪50年代的经济繁荣¦The economy went from boom to bust (=  from increasing to decreasing  ) very quickly.::经济很快就从繁荣走向了萧条。
boost	bʊst	bu:st	v::提高	boost up::向上推¦boost pressure::升压；吸入管压力	So go out there and boost your brainpower, your mind will thank you.::所以走出去提升你的智力，你的思想会感谢你自己。
botanical	bə'tænɪkl	bəˈtænɪkl	adj::植物学的	botanical garden::植物园	The area is of great botanical interest.::该地区很有植物学研究价值。
bother	'bɑðɚ	'bɒðə(r)	v::困扰	don't bother::不用麻烦了；不打扰了¦bother about::烦恼¦bother with::为…而费心，为…操心；用…打扰¦can't be bothered::不想出力，不愿找麻烦¦bother to do sth::费心去做某事	Danny, don’t bother Ellen while she’s reading.::丹尼，埃伦看书的时候不要去打扰她 。¦Would it bother you if I put on some music?::我放点音乐会你介意吗？
branch	bræntʃ	brɑ:ntʃ	n::分支，分公司	party branch::党支部¦branch office::分支机构；分局；分社¦branch company::分公司¦branch line::支线；岔线¦executive branch::行政部门¦main branch::主枝；主分支；中央领导技¦olive branch::橄榄枝（象征和平）；谈和的建议；小孩¦branch and bound::分支界限法；界定法¦branch out::v. 长出枝条；扩展范围；偏离主题¦party branch secretary::党支部书记¦branch pipe::支管；[机]分歧管¦branch network::分支网络¦branch off::分叉¦branch manager::[经]分店经理¦special branch::（英国警察部门的）政治保安处¦branch school::分校¦branch bank::银行分行，分行¦branch out into::分成；分枝成¦bundle branch::束支¦overseas branch::国外分支机构；海外分店	The bank has branches all over the country.::这家银行在全国各地都有分行。¦a branch office in Boston::在波士顿的分公司¦She now works in our Denver branch.::现在她在我们的丹佛分部工作。¦Where’s their nearest branch?::他们最近的分店在哪里？¦They’re planning to open a branch in St. Louis next year.::他们计划明年在圣路易斯开一家分店。¦Have you met our branch manager , Mr. Carlson?::你有没有见过我们的分公司经理卡尔森先生？
