access	v. 获取 n. 接近，入口
pointless	adj. 无意义的
significant	adj. 重要的
mutual	adj. 相互的
temptation	n. 诱惑，引诱
passive	adj. 被动的
evolve	v. 使发展
treasure	v. 珍爱
shock	v. 感到震惊
disservice	n. 伤害，帮倒忙
ambitious	adj. 有雄心的，野心勃勃的
fancy	adj. 华丽的；别致的
accumulate	v. 积累，增加
fuss	n. 大惊小怪
ultimately	adv. 最后，最终
showmanship	n. 主持演出的技巧
cancel	v. 取消
regulate	v. 管理
peer	n. 同龄人
calculate	v. 计算
virtually	adv. 几乎，差不多
accustom	v. 使习惯
retailer	n. 零售商
programmer	n. 程序设计员
advice	n. 建议
admiration	n. 钦佩，称赞
courageous	adj. 有勇气的
respectful	adj. 有礼貌的，尊重的
makeup	n. 化妆品
reservation	n. 预定
apply	v. 申请；应用
demonstrate	v. 证明；展示
generation	n. 一代人；产生
chat	v. 聊天
ancient	adj. 古代的
evil	n. 邪恶，罪恶
indifferent	adj. 冷漠的
namely	adv. 即，也就是
effect	n. 影响
devote	v. 奉献，致力于
appointment	n. 约会
appoint	v. 任命，委派；约定，确定，指定
resemble	v. 像，相似
assemble	v. 集合；组装；集合
expressiveness	n. 表达
visibility	n. 能见度
distracted	adj. 分心的
debt	n. 债务
substitute	n. 代替者 v. 代替
insecure	adj. 不安全的
chap	n. 小伙子，小家伙，家伙
selective	adj. 选择的,精选的
compensation	n. 弥补，补偿
dilemma	n. 困境
foreseeable	adj. 可以预见的
inadequacy	n. 不足
guarantee	v. 担保 n. 保证，担保
discrimination	n. 歧视
intense	adj. 强烈的
facilitate	v. 使便利，促进
mislead	v. 误导
reassess	v. 重新评估
response	n. 反应
essay	n. 散文，文章
stimulate	v. 刺激
dessert	n. 甜点
peaceful	adj. 平静的；和平的
regularly	adv. 定期地，有规律地
fascinate	v. 强烈地吸引，迷住
durability	n. 持久
discover	v. 发现
constitute	v. 组成
administrative	adj. 管理的
tremble	v. 颤抖
ignorant	adj. 无知的
decorate	v. 装饰
acquire	v. 获得
annual	adj. 每年的
due	adj. 到期的
situation	n. 情况
archive	n. 档案馆，档案室；档案
incomparable	adj. 无比的，无可匹敌的
perspective	n. 视角，观点；远景
compete	v. 竞争
joint	adj. 联合的
overload	n. 负担太重
mechanic	n. 机械师
distinguish	v. 区别，区分
vote	v. 投票，选举
everlasting	adj. 永恒的
construction	n. 建筑
aggressive	adj. 挑衅的，好斗的；有上进心的
classification	n. 分类，级别
melt	v. 融化
detect	v. 觉察；检测
discourage	v. 阻止；使气馁
combination	n. 联合，结合
grave	n. 坟墓
malfunction	n. 失灵，故障
reduce	v. 减少
respectively	adv. 各自地
forefinger	n. 食指
wise	adj. 聪明的，有智慧的
background	n. 背景
symbol	n. 象征，标志
quality	n. 品质
repave	v. 再铺，重新铺砌
downfall	n. （雨等的）大下特下
ring	n. 拳击台
planet	n. 行星
pension	n. 养老金
perception	n. 感知
facility	n. 设施
proportion	n. 比例，部分
involve	v. 卷入，包含
attempt	n. 尝试，试图 v. 尝试，试图
conventional	adj. 传统的
detailed	adj. 细节的，详细的
interpretation	n. 阐释，说明
guilt	n. 有罪，犯罪行为
connectivity	n. 连接，联系
behave	v. 表现
instruct	v. 指导；教授；通知；命令；
infinite	adj. 无限的
hazard	n. 危险
undervalue	v. 低估
specific	adj. 特定的，具体的
appealing	adj. 吸引人的
fitness	n. 健康
conclusion	n. 结论
absent	adj. 缺席的
antique	n. 古玩，古董
myth	n. 神话
intervention	n. 干涉
trace	n. 痕迹
protest	v. 抗议
refuel	v. （给）加油，加燃料
tackle	v. 处理
finance	n. 财政 v. 资助
fine	v. 罚款
indicate	v. 表明
dissatisfy	v. 不满意
expand	v. 扩大
spontaneous	adj. 自发的
offense	n. 犯罪；冒犯
abruptly	adv. 突然地
recycle	v. 循环，再利用
rude	adj. 粗鲁的
contribute	v. 捐款，贡献
embarrass	v. 尴尬
weaken	v. 减少，减弱
mineral	n. 矿物
sticky	adj. 粘的
challenge	n. 挑战 . v. 质疑
excess	n. 过量，过度
recruit	v. 招募，吸收 n. 新兵，新成员
overstate	v. 夸张，夸大
generalization	n. 概括
hub	n. 中心
conservative	adj. 保守的，传统的
restock	v. 重新进货，再储存
convict	v. 证明…有罪
deepen	v. 使加深，加剧
tank	n. 油箱，水箱
negative	adj. 消积的；否定的
accelerate	v. 加速
territory	n. 领土，领域
impact	n. 影响
distraction	n. 分心；消遣
resolve	v. 解决；下决心
refuse	v. 拒绝
soluble	adj. 可溶的；可以解决的
brave	adj. 勇敢的；极好的
hat	n. 帽子（一般指有边的）
beach	n. 海滩，湖滩，河滩
authority	n. 当局，官方；权力
roast	v. 烤，炙；烘
amplify	v. 放大，扩大；增强
bulk	n. 大部分；体积，块头
put	v. 放，摆；使处于
stable	adj. 稳定的，不变的
certificate	n. 证书，证件，执照；（毕业）文凭，合格证书
dragon	n. 龙
capable	adj. 有能力的；有才能的
criticism	n. 批评；批判；评论
accommodation	n. 住处；工作场所
imply	v. 暗示，意指
December	n. 十二月
president	n. 总统；（某组织的）最高权力人
lately	adv. 最近，不久前
down	adv. 向下；在下面
matter	n. 事情；物质 v. 要紧
lake	n. 湖
nor	conj. 既不…也不…；也不
bench	n. 长凳，条凳
rug	n. 小地毯；毛毯
mirror	n. 镜子 v. 与〔另一事物〕相似；反映
draw	v. 画，划
net	n. 网，网状物；互联网
scale	n. 天平，磅秤，秤
outline	n. 轮廓；略图；大纲
quiet	adj. 安静的；寂静的
water	n. 水 v. 使湿，灌溉
nervous	adj. 神经的；易激动的
nevertheless	conj. 然而 adv. 仍然
assembly	n. 集合；集会；装配
fight	v. 打（仗）；斗争
missing	adj. 失去的；缺掉的
lift	v. 提起，提高 n. 电梯
refrigerator	n. 冰箱，冷藏库
dirty	adj. 脏的；下流的
rent	n. 租金 v. 出租
convince	v. 使确信，使信服
abroad	adv. （在）国外
offend	v. 冒犯 v. 犯罪，违法
belong	v. 属于
arouse	v. 引起，唤起；唤醒
admission	n. 承认；允许进入
modify	v. 更改，修改
express	v. 表示 n. 快车；快递
imagine	v. 想象，设想
infinite	adj. 无限的；无数的
barrier	n. 障碍；栅栏；屏障
lane	n. （乡间）小路；跑道
notebook	n. 笔记本，期票簿
realm	n. 领域；王国，国土
lever	n. 控制杆；杆，杠杆
midst	n. 中部，中间，当中
pilot	n. 飞行员；领航员
direct	adj. 直接的；直率的
prejudice	n. 偏见，成见
tour	n. 旅行，旅游 v. 旅游，游历
tolerance	n. 忍受，容忍
discourage	v. 使泄气，使灰心
get	v. 获得，得到；到达；变成，成为
advertisement	n. 广告
ribbon	n. 缎带，丝带；带
partner	n. 配偶；伙伴；搭挡
hamburger	n. 汉堡包，牛肉饼
climb	v. 攀登，爬
differ	v. 不同，相异
exhibition	n. 展览会；展览，陈列
mineral	n. 矿物 adj. 矿物的
public	adj. 公众的 n. 公众
palace	n. 宫，宫殿
pulse	n. 脉搏；脉动；脉冲
immediately	adv. 立即；（immediately involved）直接地
cow	n. 母牛，奶牛；母兽
private	adj. 私人的；私下的
toast	n. 烤面包 v. 烘，烤
scenery	n. 风景；舞台布景
fun	n. 乐趣，娱乐；玩笑
living	adj. 活的 n. 生活，生计
Mediterranean	n. 地中海 adj. 地中海的
worth	adj. 值…的 n. 价值
conquer	v. 征服；战胜
absorb	v. 吸收；中文释义；使专心
enthusiasm	n. 热情，热心，热忱
brood	n. 同窝幼鸟 v. 孵（蛋）
tip	v. 轻击；给小费
accompany	v. 陪伴，陪同；伴随
execute	v. 将…处死；实施
conceal	v. 把…隐藏起来
certain	adj. 肯定的；确实的
apparent	adj. 明显的；表面上的
messenger	n. 送信者，信使
merit	n. 长处，优点
youth	n. 青春；青年们；青年
naval	adj. 海军的，军舰的
downward	adj. 向下的 adv. 向下地
fact	n. 事实；实际，实情
hut	n. 小屋，棚屋
namely	adv. 即，也就是
monument	n. 纪念碑；纪念馆
cool	adj. 凉的；冷静的
governor	n. 州长；主管人员
program	n. 程序；节目单
illness	n. 病，疾病
normal	adj. 正常的，普通的
population	n. 人口；全体居民
frontier	n. 边境；边疆；新领域
quantity	n. 量，数量，分量
order	n. 次序；整齐 v. 命令
learning	n. 学问，知识；学习
everywhere	adv. 到处，处处
stage	n. 阶段；舞台
everyone	pron. 每人，人人
sting	v. 刺；刺痛 n. 刺
hatch	v. （蛋）孵化；孵出
honey	n. 蜜，蜂蜜
nest	n. 巢；窝，穴
degree	n. 度；学位
equivalent	adj. 相等的；等量的
calendar	n. 日历，历书；历法
manual	adj. 体力的 n. 手册
cabinet	n. 内阁；橱，柜
steady	adj. 稳固的 v. 使稳定
more	adj. 更多的 adv. 更
apple	n. 苹果
never	adv. 永不，决不；不
instruction	n. 命令；教学；教训
laughter	n. 笑，笑声
appeal	n. 呼吁；申述 v. 呼吁；申述
idiom	n. 习语，成语
impressive	adj. 给人印象深刻的
fourteen	num. 十四
on	prep. 在…上
stack	n. 堆，垛 v. 堆积
imitate	v. 模仿；仿效；仿制
cast	v. 投，扔，抛；浇铸
pump	n. 泵 v. 用抽机抽
animal	n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）
mend	v. 修补，缝补；修理
dozen	n. 一打，十二个
bathe	v. 给…洗澡
means	n. 方法，手段，工具
emphasis	n. 强调，重点，重要性
shortage	n. 不足，缺少，不足额
contrary	adj. 相反的 n. 相反
tunnel	n. 隧道，坑道，地道
visible	adj. 可见的，看得见的
minimum	n. 最小量 adj. 最小的
hedge	n. 篱笆，树篱
bundle	n. 捆，包，束；包袱
stretch	v. 伸展；伸 n. 伸展
electrical	adj. 电的，电气科学的
artificial	adj. 人工的；娇揉造作的
grateful	adj. 感激的
classmate	n. 同班同学
assess	v. 对（财产等）估价
personal	adj. 个人的；本人的
qualify	v. 使具有资格
shift	v. 替换，转移 n. 转换
preceding	adj. 在前的；在先的
board	n. 板 v. 上（船、车等）
custom	n. 习惯，风俗；海关
patch	n. 补丁；〔与周围部分不同的〕斑，小块 v. 修补，缝补
jar	n. 罐子，坛子，广口瓶
defeat	v. 战胜，击败；挫败
child	n. 小孩，儿童；儿子/女儿
education	n. 教育；训导
stair	n. 楼梯
ornament	n. 装饰物；装饰
downstairs	adv. 在楼下 adj. 楼下的
hare	n. 野兔
brook	n. 小河，溪流
procedure	n. 程序；手续；过程
employ	v. 雇用；用；使忙于
may	modal verb. 可能；可以；祝
province	n. 省；领域，部门
freeze	v. 冻；结冻
artistic	adj. 艺术的；艺术家的
combination	n. 结合，联合；混合
adapt	v. 使适应；改编
ambulance	n. 救护车
burden	n. 担子，重担
innocent	adj. 清白的；幼稚的
option	n. 选择；选择权
fee	n. 费，酬金；赏金
greeting	n. 问候，招呼，致敬
sincere	adj. 真诚的；真挚的
steel	n. 钢，钢铁
guard	v. 守卫；看守 n. 卫兵
worthy	adj. 值得尊敬的；值得的
breakfast	n. 早饭，早餐
sympathize	v. 同情；同感，共鸣
gallery	n. 美术馆，画廊；长廊；走廊
notice	v. 注意 n. 注意；通知
percentage	n. 百分比，百分率
money	n. 货币；金钱；财富
best	adj. 最好的；最大的
meet	v. 遇见
crown	n. 王冠，冕；花冠
beginning	n. 开始，开端；起源
mathematical	adj. 数学的，数学上的
juice	n. （水果等）汁，液
meadow	n. 草地，牧草地
district	n. 地区，区域；区
fish	n. 鱼；鱼肉 v. 钓鱼
incorrect	adj. 不正确的，错误的
lose	v. 失去；迷失；输掉
man	n. 男人；人；人类
mere	adj. 仅仅的；纯粹的
bell	n. 钟，铃，门铃；钟声
mean	v. 作…解释；意指
surrender	v. 交出；投降
complicate	v. 使复杂；使陷入
English	n. 英语 adj. 英国人的
gardener	n. 园丁，花匠
call	v. 把…叫做；叫，喊
pleasant	adj. 令人愉快的，舒适的
conversion	n. 转变，转化；改变
adopt	v. 收养；采用；采取
master	n. 能手；主人；硕士
pipe	n. 管子，导管；烟斗
recover	v. 重新获得；挽回
communicate	v. 通讯；传达
bike	n. 自行车 v. 骑自行车
classify	v. 把…分类
trumpet	n. 喇叭，小号
canoe	n. 独木舟，皮艇，划子
entertain	v. 使欢乐；招待
campaign	n. 运动；战役
abandon	v. 丢弃；放弃，抛弃
lorry	n. 运货汽车，卡车
congress	n. 大会；国会，议会
double	adj. 双的；两倍的
confident	adj. 确信的；自信的
extreme	adj. 极度的；尽头的
frequency	n. 屡次；次数；频率
confess	v. 供认，承认；坦白
lodge	v. 暂住，借宿，投宿
apartment	n. 一套公寓房间
elevator	n. 电梯；升降机
kilogram	n. 千克，公斤
industrial	adj. 工业的；产业的
explosive	n. 炸药 adj. 会爆炸的
challenge	n. 挑战
swear	v. 宣（誓）；诅咒
departure	n. 离开，出发，起程
elastic	n. 松紧带 adj. 有弹性的
break	v. 打破；损坏；破坏
capital	n. 首都；资本，资金
adequate	adj. 足够的；可以胜任的
progress	n. 前进；进展；进步
paste	n. 糊；酱；糨糊
relevant	adj. 有关的，贴切的
exam	n. 考试；检查，细查
conservative	adj. 保守的 n. 保守的人
inhabit	v. 居住于，栖息于
ministry	n. （政府的）部
stem	n. 茎，（树）干 v. 起源
margin	n. 页边的空白；边缘；边缘
core	n. 果实的心；核心
correspondent	n. 通讯员；通信者
possibly	adv. 可能地；也许
roll	v. 滚动；转动
repair	v. 修理，修补 n. 修理，修补
moral	adj. 道德的；合乎道德的
broken	adj. 被打碎的；骨折的
steer	v. 驾驶
wax	n. 蜡，蜂蜡
centimetre	n. 公分，厘米
gaseous	adj. 气体的，气态的
equal	adj. 相等的；平等的
lecture	n. 演讲，讲课 v. 演讲，讲课
recommendation	n. 推荐，介绍；劝告
bleed	v. 出血，流血
kid	n. 小孩，儿童；少年
become	v. 变得；变成；成为
rid	v. 使摆脱，使去掉
land	n. 土地；陆地 v. 上岸
bold	adj. 大胆的；冒失的
prison	n. 监狱；监禁
modest	adj. 谦虚的；不太大的；不很贵的
leather	n. 皮革；皮革制品
length	n. 长，长度；一段
academic	adj. 学院的；学术的
prosperous	adj. 繁荣的，昌盛的
grammatical	adj. 语法上的
physics	n. 物理学
turbine	n. 叶轮机，汽轮机
contempt	n. 轻蔑；藐视；受辱
settlement	n. 解决；殖民，殖民地
label	n. 标签；标记，符号
dew	n. 露，露水
professor	n. 教授
nothing	n. 没有东西 adv. 毫不
palm	n. 手掌，手心
limit	n. 限度；限制；范围
crude	adj. 简陋的；天然的
cold	adj. 冷的；冷淡的 n. 冷
frank	adj. 坦白的，直率的
forget	v. 忘记，遗忘
bean	n. 豆，蚕豆
appear	v. 似乎；出现；来到
price	n. 价格，价钱；代价
emotion	n. 情感，感情；激动
worst	adj. 最坏的 adv. 最坏地
moan	n. 呻吟声 v. 呻吟
terrible	adj. 可怕的；极度的
dollar	n. 元〔美国、加拿大、澳大利亚等国的货币单位〕
answer	v. 回答；响应
barn	n. 谷仓；牲口棚
conclusion	n. 结论，推论；结尾
demand	v. 要求；询问；需要
learn	v. 学，学习
rival	n. 竞争者 adj. 竞争的
industry	n. 工业，产业；勤劳
concern	n. 关心，挂念；重要的事
friendly	adj. 友好的；友谊的
pale	adj. 苍白的；浅的
dramatic	adj. 戏剧的；引人注目的
rhythm	n. 韵律，格律；节奏
local	adj. 地方的；局部的
nuclear	adj. 原子核的
gentleman	n. 绅士；有教养的人
exactly	adv. 确切地；恰恰正是
shield	n. 盾；防护物 v. 保护
hawk	n. 鹰，隼
network	n. 网状物；网络
disease	n. 病，疾病；病害
French	adj. 法国的 n. 法国人
indicate	v. 标示，表示；表明
aural	adj. 耳的，听觉的
basket	n. 篮，篓，筐
interpreter	n. 译员，口译者
mountain	n. 山，山岳；山脉
obtain	v. 获得，得到，买到
activity	n. 活动；活力；行动
lung	n. 肺脏，肺
throughout	prep. 遍及 adv. 到处
measurable	adj. 可测量的
clasp	n. 扣子，钩子；别针
unit	n. 单位；单元；部件
spring	v. 跳，跃 n. 泉；跳跃
home	n. 家；家乡 adj. 家庭的
grammar	n. 语法；语法书
army	n. 军队；陆军
clock	n. 钟，仪表
domestic	adj. 本国的；家庭的
ladder	n. 梯子，梯状物
doubt	n. 怀疑；疑虑 v. 怀疑
fork	n. 餐叉；叉；分叉
course	n. 课程；过程；一道菜
intense	adj. 强烈的；紧张的
advice	n. 劝告；忠告；意见
virtually	adv. 实际上，事实上
envy	v. 妒忌；羡慕 n. 妒忌；羡慕
duck	n. 鸭；中文释义: 雌鸭；鸭肉
remark	n. 评论，谈论 v. 评论，谈论
native	adj. 本土的 n. 本地人
purchase	n. 买，购买 v. 买
