textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
Annie	'æni		::安妮（女名）::		After the movie was finished, my husband reminded me that I am an Annie Sullivan.::看完电影后，我丈夫提醒我说，我就是一个安妮·莎莉文式的人。¦Dear Annie: I hope you and your readers have some suggestions for me, because I'm just about at the end of my rope.::亲爱的安妮： 我希望您和您的读者可以给我提些建议，因为我实在是山穷水尽，毫无办法了。							
Alexander Graham Bell			::亚历山大 • 格雷厄姆 • 贝尔::		It is the story of Alexander Graham Bell.::这就是亚历山大·格雷厄姆·贝尔的故事。¦WHEN Alexander Graham Bell invented the telephone in 1876, he could never have predicted what it would be able to do in the future.::在1876年亚历山大·格雷厄姆·贝尔发明电话之时，他绝对不会料到电话在未来能做何用途。							
lantern	'læntɚn	'læntən	n::灯笼::a lamp that you can carry, consisting of a metal container with glass sides that surrounds a flame or light	lantern festival::元宵节，灯节¦chinese lantern::可以折叠起来的灯笼¦palace lantern::宫灯¦lantern show::灯展	Light the lantern, take it and go down stairs.::你把这灯笼点起来，带着它下楼去。¦What starts as an everyday squash turns into a lantern of light.::一个平平常常的南瓜变成了一个充满光亮的灯笼。¦In the course of time, this kind of lantern has become an exclusive of the Shens.::后来， 这种灯笼成了沈家的绝活。	n::灯笼；提灯；灯笼式天窗::scaldfish	n::lanternfish::发光的鱼，灯笼鱼		Lantern Festival 元宵节			
stranger	'strendʒɚ	'streɪn(d)ʒə	n::陌生人::someone that you do not know	stranger than fiction::奇幻人生（电影名称）¦perfect stranger::完全不认识的人	Children must not talk to strangers.::小孩子千万不要同陌生人说话。	n::陌生人；外地人；局外人::provincial, foreigner	adj::strange::奇怪的；陌生的；外行的¦adv::strange::奇怪地；陌生地，冷淡地¦n::strangeness::陌生；冷淡；[高能] 奇异性					
relative	'rɛlətɪv	'relətɪv	n::亲属；亲戚::a member of your family	relative humidity::相对湿度¦relative error::相对误差¦relative position::相对位置¦relative standard::相对标准；相关标准¦relative motion::相对运动¦relative density::相对密度（等于specific gravity）¦relative permeability::相对渗透率；相对磁导率；空间磁导率¦relative importance::相对重要性¦relative standard deviation::相对标准偏差；相对标准差¦relative stability::相对稳定度，相对稳定性；稳定比值¦relative theory::相对论，相对理论¦relative merits::优缺点；相比较而言的优点¦relative molecular mass::相对分子质量¦relative movement::相对运动¦relative value::相对价值；相对值¦relative displacement::相对位移；相对排量¦relative analysis::n. 对比分析¦relative strength::相对强势¦relative velocity::[物]相对速度¦relative efficiency::相对效率；相对有效性；相对效能	a gathering of friends and relatives::亲朋好友的聚会	adj::相对的；有关系的；成比例的::opposing, proportional¦n::亲戚；相关物；[语]关系词；亲缘植物::kin, belongings	adj::related::有关系的，有关联的；讲述的，叙述的¦adj::relational::相关的；亲属的¦adj::relativistic::相对的；相对论的¦adv::relatively::相当地；相对地，比较地¦adv::relativistically::相对论性地¦n::relationship::关系；关联¦n::relation::关系；叙述；故事；亲属关系¦n::relativity::相对论；相关性；相对性¦n::relativism::相对主义；相对论¦n::relatedness::关联性；关系；亲缘¦n::relatum::被关系者¦v::related::叙述（relate过去式）¦vi::relate::涉及；认同；符合；与…有某种联系¦vt::relate::叙述；使…有联系¦vt::relativise::相对化（等于relativize）¦vt::relativize::用相对论处理…		亲戚(relative)之间关系(relation)很和睦			
put on	pʊt ɑn	pʊt ɒn	::增加（体重）；发胖::If someone puts on weight, they become heavier		I can eat what I want but I never put on weight.::我想吃什么就能吃什么，而体重从不增加。	::穿上；上演；增加；假装；使…上场::enhance, boost, improve, simulate, accelerate						
pound	paʊnd	paʊnd	n::磅（重量单位）；英镑（英国货币单位）::a unit for measuring weight, equal to 16  ounce s  or 0.454 kilograms	pound of flesh::合乎法律的无礼要求¦in the pound::每镑¦pound sterling::n. 英镑¦by the pound::按每磅(计价)¦pound on::重击；猛打¦pound note::1英镑纸币	Moira weighs about 130 pounds.::莫伊拉的体重约为130磅。¦The grapes cost $2 a pound.::葡萄的价格是2美元一磅。¦They spent over a thousand pounds.::他们花了一千多英镑。	n::英镑；重击，重击声；兽栏；拘留所::prison, devel¦vt::捣烂；敲打；监禁，拘留::hold, prison¦vi::连续重击，猛击::drive, belt	n::pounding::重击；重击声¦n::poundage::按每磅的收取的手续费或税金；磅重总数；监禁；畜栏；企业总收益中的工资比额¦n::pounder::捣具；一磅重的东西；杵¦v::pounding::捣碎；向…猛打；重敲（pound的ing形式）		音似“磅”			
folk	fok	fəʊk	adj::民间的；民俗的::folk art, stories, customs etc are traditional and typical of the ordinary people who live in a particular area	folk art::民间艺术¦folk music::民俗音乐¦folk culture::民俗文化；民间文化¦folk song::民歌¦folk custom::n. 民间习俗¦folk dance::民间舞蹈；土风舞¦folk prescription::偏方；民间药方¦folk medicine::民间医药；民间医学¦folk house::民居¦country folk::乡下人；乡村民谣¦folk dancing::民间舞¦old folk::老人¦folk singer::n. 民歌手；民歌演唱者¦folk tale::民间故事¦folk rock::摇滚民谣¦folk art forms::曲艺¦folk remedy::偏方¦folk hero::民族英雄；民间英雄¦folk story::民间故事¦folk wisdom::民间智慧	folk tales::民间故事¦an Irish folk song::一首爱尔兰民歌	n::民族；人们；亲属（复数）::nation, people, family¦adj::民间的::civil	adj::folksy::有民间风味的；和气的；无拘束的					
goddess	ɡɑdɪs	ˈgɒdɪs	n::女神::a female  being  who is believed to control the world or part of it, or represents a particular quality	goddess of mercy::观世音	Aphrodite, goddess of love::爱神阿佛洛狄忒	n::女神，受崇拜的女性::nymph	n::god::神；（大写首字母时）上帝；vt. 膜拜，崇拜					
steal	stil	stiːl	v::偷；窃取::to take something that belongs to someone else	steal away::（把某物）偷走；溜掉¦steal over::（感情等）渐渐控制…；渐渐弥漫；悄悄地呈现；不知不觉地袭来	Boys broke into a shop and stole £45 in cash.::男孩们闯进一家商店，盗走了45英镑现金。	vt::[法]偷窃；剽窃；偷偷地做::scrump, pick pocket¦n::[法]偷窃；便宜货；偷垒::rip-off, cheapie	adj::stolen::偷走的¦adj::stealing::有偷窃行为的¦adv::stealthily::暗地里¦n::stole::圣衣；女用披肩¦n::stealth::秘密；秘密行动；鬼祟¦n::stealing::偷窃；贼赃；偷垒（棒球比赛中的犯规行为）¦n::stealer::偷窃者；偷干者¦v::stole::偷窃，偷盗（steal的过去式）¦v::stolen::偷窃；剽窃（steal的过去分词）¦v::stealing::偷盗；抄袭（steal的ing形式）		小偷经常去偷盗(steal)工厂的钢铁(steel)			
lay	le	leɪ	v::放置；安放；产（卵）；下（蛋）::to put someone or something down carefully into a flat position	lay in::贮存¦lay down::放下；制定；铺设；主张¦lay a foundation::奠定基础；奠基；打下基础¦lay eggs::产蛋¦lay on::涂抹（颜料等）；猛攻；加…于人¦lay out::展示；安排；花钱；为…划样；提议¦lay stress on::注意，重视；把重点放在¦lay off::解雇；休息；停止工作¦lay emphasis on::强调；把重点放在¦lay claim to::要求；自以为¦lay the foundation of::打下……的基础；奠定了……的基础¦lay at::攻击；将…放置在…前面¦lay up::v. 贮存；搁置；卧床不起¦lay asleep::◎使…入睡¦on the lay::[黑话、行话]做(违法)买卖；干活(如偷、扒、抢等)¦in lay::◎(母鸡)会下蛋[亦作 in full (或 good) lay]¦lay back::使…向后；躺下休息¦lay upon::随…而定；把重点放在¦lay over::覆盖；胜过，压倒¦lay hands on::得到；找到；攻击	He laid his hand on my shoulder.::他把一只手搭在我的肩上。¦They laid a wreath at the place where so many people died.::他们在这么多人丧生的地方放了一个花圈。¦Lay the material flat on the table.::把布料平铺在桌上。¦My canary has laid an egg. ＃::我的金丝雀下了一个蛋。	vt::躺下；产卵；搁放::to lie down¦adj::世俗的；外行的::strange, mundane¦n::位置；短诗；花纹方向::location, situation, site, slot¦vi::下蛋；打赌::stake, make a bet	adj::laid::松弛的；从容不迫的¦n::lie::谎言；位置¦n::layman::外行；门外汉；俗人；一般信徒¦n::laying::敷设；布置；产卵数；瞄准¦n::laity::俗人；外行人；门外汉¦n::layperson::外行¦v::laid::放；铺设；安排（lay的过去分词）¦v::laying::放置；产卵（lay的ing形式）¦vi::lie::躺；说谎；位于；展现¦vt::lie::谎骗					
