adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
particularly	pɚ'tɪkjəlɚli	pəˈtɪkjələli	adv::特别地::more than usual or more than others		Steve was in a particularly bad mood when he got back.::史蒂夫回来时情绪特别不好。¦The restaurant is particularly popular with young people.::那家餐厅尤其受到年轻人的欢迎。¦We are hoping to expand our business, particularly in Europe.::我们希望扩大业务，尤其是在欧洲。¦British farmers, particularly those producing lamb, are very worried.::英国农场主，尤其是养羊羔的农场主，非常担忧。	adv::特别地，独特地；详细地，具体地；明确地，细致地::specifically, extra, definitely, positively	adj::particular:: 特别的；详细的；独有的；挑剔的¦n::particular:: 详细说明；个别项目¦n::particularity:: 特质；个性；讲究¦n::particularism:: 特殊神宠论；完全忠于一种理论¦n::particularization:: 详细列明¦vi::particularize:: 详细说明；大书特书¦vt::particularize:: 列举；使特殊					
perseverance	,pɝsə'vɪrəns	ˌpɜ:sɪˈvɪərəns	n::毅力::		He's a clever man,but fails in perseverance.::他是一个聪明人，但缺乏毅力。¦Their power does not come from rank or title but from intellect and perseverance.::他们的权力并非来自等级或头衔，而是来自他们的智慧和毅力。	n::坚持不懈；不屈不挠::doggedness, tenacity	adj::persistent:: 固执的，坚持的；持久稳固的¦adj::persevering:: 坚忍的；不屈不挠的¦adv::perseveringly:: 坚定地¦n::perseveration:: 持续言语（指言语反复不止的病态）；持续重复的行为；执拗¦vi::persist:: 存留，坚持；持续，固执¦vi::persevere:: 坚持；不屈不挠；固执己见（在辩论中）¦vi::perseverate:: 患持续言语症；表现固执¦vt::persist:: 坚持说，反复说					
presence	'prɛzns	ˈprezns	n::出席::when someone or something is present in a particular place	in the presence of::在…面前；有某人在场¦in presence of::提示¦physical presence::实体存在；实际存在¦military presence::军事存在¦internet presence::网上广告¦commercial presence::商业存在	Your presence is requested at the club meeting on Friday.::敬请出席于周五举行的俱乐部会议。	n::[植]存在；出席；参加；风度；仪态::existence, being, entity, is	adj::present:: 现在的；出席的¦adj::presentational:: 表象的；演出的；上演的；直觉的¦n::present:: 现在；礼物；瞄准¦n::presenter:: 提出者；推荐者；赠送者；任命者¦vi::present:: 举枪瞄准¦vt::present:: 提出；介绍；呈现；赠送					
presumably	prɪ'zuməbli	prɪˈzju:məbli	adv::据推测； 大概::used to say that you think something is probably true		It’s raining, which presumably means that your football match will be cancelled.::下雨了，这可能意味着你们的足球比赛要取消。	adv::大概；推测起来；可假定::probably, possibly, maybe	adj::presumable:: 可能有的；可推测的¦adj::presumptive:: 假定的；根据推定的¦n::presumption:: 放肆，傲慢；推测¦vi::presume:: 相信；擅自行为¦vt::presume:: 假定；推测；擅自；意味着					
proclaim	prə'klem	prəˈkleɪm	v::宣告::to say publicly or officially that something important is true or exists		The President proclaimed the republic’s independence.::总统宣布共和国独立。	vt::宣告，公布；声明；表明；赞扬::indicate, sound, post, state, publish	n::proclamation:: 公告；宣布；宣告；公布					
promulgate	'prɑmlɡet	ˈprɒmlgeɪt	v::颁布，公布::to make a new law come into effect by announcing it officially		A new constitution was promulgated last month.::上个月颁布了一部新宪法。	vt::公布；传播；发表::deliver, post, notify, transmit	adj::promulgated:: 发布的；被公布的¦n::promulgation:: 颁布；公布；宣传；普及¦n::promulgator:: 发布者；传播者¦v::promulgated:: 发布，公布（promulgate的过去分词）					
proportion	prə'pɔrʃən	prəˈpɔ:ʃn	n::比例::The proportion of one kind of person or thing in a group is the number of people or things of that kind compared to the total number of people or things in the group	in proportion::成比例；相称¦a large proportion of::一大部分¦direct proportion::n. 正比；正比例¦out of proportion::不成比例¦mixing proportion::混合比，配合比例¦inverse proportion::n. 比例；反比例¦in proportion as::adv. 按…比例；依…程度而变¦sense of proportion::判断推动轻重缓急的能力¦geometric proportion::等比¦proportion by weight::重量比	The proportion of women in the profession had risen to 17.3%.::从事那个职业的女性比例已经增长到17.3%。	n::[数]比例；部分；面积；均衡::ratio, area, equilibrium, scale, part¦vt::使成比例；使均衡；分摊::apportion	adj::proportional:: 比例的，成比例的；相称的，均衡的¦adj::proportionate:: 成比例的；相称的；适当的¦adj::proportionable:: 成比例的；相称的；均衡的¦adv::proportionally:: 成比例地；相称地，适当地¦n::proportional:: [数] 比例项¦n::proportionality:: 相称；均衡；比例性¦vt::proportionate:: 使成比例；使相称					
quell	kwɛl	kwel	v::制止，平息，镇压::to end a situation in which people are behaving violently or protesting, especially by using force		Troops eventually quelled the unrest.::部队最终镇压了动乱。	vt::平息；镇压；减轻；消除::eliminate, avoid, moderate, suppress						
repel	rɪ'pɛl	rɪˈpel	v::抵制；使厌恶::if something repels you, it is so unpleasant that you do not want to be near it, or it makes you feel ill		The smell repelled him.::这气味让他反感。	vt::击退；抵制；使厌恶；使不愉快::refuse, roll back						
represent	,rɛprɪ'zɛnt	ˌreprɪˈzent	v::象征；代表::to officially speak or take action for another person or group of people	represent something to oneself::想像出某事物¦represent for::代表；象征	Mr Kobayashi was chosen to represent the company at the conference.::小林先生被选中代表公司出席会议。	vt::代表；表现；描绘；回忆；再赠送::conduct oneself, bear oneself, trace, figure¦vi::代表；提出异议::to stand for, stand for sth	adj::representative:: 典型的，有代表性的；代议制的¦adj::representational:: 代表的；具象派的¦adj::representable:: 能被代表的；能上演的；能被描绘的¦n::representative:: 代表；典型；众议员¦n::representation:: 代表；表现；表示法；陈述					
reputation	,rɛpju'teʃən	ˌrepjuˈteɪʃn	n::名誉，声望::the opinion that people have about someone or something because of what has happened in the past	good reputation::良好声誉¦high reputation::盛誉¦reputation for::名声，名气；以…闻名¦of reputation::有名望的¦business reputation::商业信誉；营业信誉¦by reputation::由(或通过)名声；由于知名度¦bad reputation::n. 坏名声，臭名¦reliable reputation::信誉可靠¦have a reputation for::vt. 出名因（因…而著称）；有…的好名声	Alice Munro has a reputation for being a very depressing writer.::艾丽斯•门罗有文风抑郁的名声。	n::名声，名誉；声望::credit, name, fame, celebrity, prestige	adj::reputable:: 声誉好的；受尊敬的；卓越的¦adj::reputed:: 名誉好的；被普遍认为…的¦n::repute:: 名誉；声望¦v::reputed:: 认为（repute的过去式和过去分词）¦vt::repute:: 名誉；认为；把…称为					
resemblance	rɪ'zɛmbləns	rɪˈzembləns	n::相似::if there is a resemblance between two people or things, they are similar, especially in the way they look	family resemblance::家族类似性	There was a remarkable resemblance between him and Pete.::他和皮特有一个惊人的相似之处。	n::相似；相似之处；相似物；肖像::image, conformity, likeness	vt::resemble:: 类似，像					
scant	skænt	skænt	adj::少量的，不足的::not enough	scant of::缺乏…的	The story has received scant attention in the press.::这件事没在报界引起多少注意。¦They produce goods with scant regard for quality.::他们的产品不够重视质量。	adj::不足的；缺乏的；勉强够的::insufficient, short, deficient, lacking, scarce¦vt::减少；节省；限制::block, shorten	adj::scanty:: 缺乏的；吝啬的；仅有的；稀疏的¦adv::scantily:: 缺乏地；吝啬地；不充足地¦n::scantiness:: 缺乏；不足					
shabby	ˈʃæbi	ˈʃæbi	adj::破烂的，衣着寒酸的::wearing clothes that are old and worn		a shabby tramp::一个衣衫褴褛的流浪汉	adj::破旧的；卑鄙的；吝啬的；低劣的::poor, mean, tight, base, shot	adv::shabbily:: 衣衫褴褛地，破旧地；不体面地；卑鄙地¦n::shabbiness:: 衣衫褴褛；卑鄙；吝啬					
shortlist	'ʃɔ:tlist	ˈʃɔ:tlɪst	v::把…列入候选名单;提名::If someone or something is shortlisted for a job or a prize, they are put on a shortlist		He was shortlisted for the Nobel Prize for literature several times.::他曾数次获得诺贝尔文学奖提名。							
sophisticated	sə'fɪstɪketɪd	səˈfɪstɪkeɪtɪd	adj::复杂的，老于世故的::a sophisticated machine, system, method etc is very well designed and very advanced, and often works in a complicated way	sophisticated technology::工艺精良¦sophisticated equipment::尖端设备；高级设备	sophisticated software::很先进的软件¦a highly sophisticated weapons system::非常精密的武器系统	adj::复杂的；精致的；久经世故的；富有经验的::complicated, experienced, involved, detailed, exquisite¦v::使变得世故；使迷惑；篡改（sophisticate的过去分词形式）::mystified	adj::sophomore:: 二年级的；二年级学生的¦adv::sophisticatedly:: 老练地¦n::sophomore:: 大学二年级生；（美）有二年经验的人¦n::sophisticate:: 久经世故的人；精通者¦n::sophistication:: 复杂；诡辩；老于世故；有教养¦vi::sophisticate:: 诡辩¦vt::sophisticate:: 弄复杂；使变得世故；曲解					
source	sɔrs	sɔ:s	n::根源；源头::the cause of something, especially a problem, or the place where it starts	source code::源代码；源程序¦power source::电源，能源¦light source::光源¦source rock::源岩；生油岩层¦water source::水源¦open source::[计]开放源码；开放资源¦heat source::热源¦data source::数据源，数据发送器¦energy source::安瑞索思（公司名称）¦pollution source::污染源¦point source::点声源¦at source::在产地；在源头¦carbon source::碳源¦current source::电源；电链¦source material::原始资源¦information source::信息源；情报源¦source language::源语言¦signal source::n. 信号源¦voltage source::n. 电压电源¦source area::源区	List all your sources at the end of your essay.::在论文末尾列出你所有资料的出处。	n::来源；水源；原始资料::provenience, authorship						
specially	'spɛʃəli	ˈspeʃəli	adv::特意地；专门地::for one particular purpose, and only for that purpose	specially invite( or engage)::特聘¦specially good effect::特效	specially trained police dogs::经过专门训练的警犬	adv::特别地；专门地::particularly, extra, technically	adj::special:: 特别的；专门的，专用的¦adj::specialist:: 专家的；专业的¦adj::specialty:: 特色的；专门的；独立的¦adj::specialized:: 专业的；专门的¦adj::specialised:: 专门的；特别的（等于specialized）¦adj::specialistic:: 专家的；专攻的；专门学科的¦adv::specifically:: 特别地；明确地¦n::special:: 特使，特派人员；特刊；特色菜；专车；特价商品¦n::specialist:: 专家；专门医师¦n::specialty:: 专业，专长；特产；特性；招牌菜¦n::speciality:: 专业，专长；特性¦n::specialization:: 专门化；特殊化；特化作用¦n::specialisation:: 专业化（等于specialization）；特化，适应化¦n::specialness:: 专门，特殊¦n::specialism:: 专长；专攻；专门研究¦n::specializer:: 专家¦v::specialized:: 专攻（specialize的过去分词）；使…专门化；详细说明¦v::specialised:: 使专门化；专攻；详细说明（specialise的过去分词）¦vi::specialize:: 专门从事；详细说明；特化¦vi::specialise:: 专门研究（等于specialize）¦vt::specialize:: 使专门化；使适应特殊情况；详细说明¦vt::specialise:: 使专门化；限定…的范围；深入（等于specialize）					
