ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
against	ə'ɡɛnst	ə'genst; ə'geɪnst	prep::反对，违反；靠；倚；防备::next to and touching an upright surface, especially for support¦adj::不利的；对立的::	up against::面临¦go against::不利于；违反；反对¦over against::在…对面；正对着；与…相反；与…形成对照¦as against::与…相对照；比…¦back against::背朝着	There was a ladder propped up against the wall.::有一把梯子靠在墙边。¦The younger policeman was leaning against the bureau with his arms folded.::那位较年轻的警官两臂交叉，倚靠在办公桌旁。	prep::反对，违反；靠；倚；防备::in opposition to, in contravention of¦adj::不利的；对立的::adverse, contrary, opposite, disadvantageous					Mr. Black is strongly ______ keeping animals in the zoo, because he thinks animals should also have the right to enjoy freedom. ::3::1)up 2)for 3)against 4)down::译文： 布莱克先生强烈反对将动物关在动物园里， 因为他认为动物也有权享受自由。 本题考查介词的用法。up 意为“向上”； for作介词时有“支持”的意思， 其反义词是against(反对)； down 意为“向下”， 	
age	edʒ	eɪdʒ	n::年龄；时代；寿命，使用年限；阶段::the number of years someone has lived or something has existed¦v::成熟；变老::to start looking older or to make someone or something look older	at the age of::在…岁¦of age::成年¦old age::老年；晚年¦at one's age::在…这个年龄(或岁数)¦information age::信息时代¦years of age::岁；年岁¦new age::n. 新时代；新世纪¦with age::随着年龄的增长；因年久¦for one's age::就其年龄而论¦age group::同年龄范围内的人¦middle age::中年；中世纪¦average age::平均年龄¦young age::年轻时代；童年¦golden age::黄金时代；鼎盛时期¦ice age::冰期；[地]冰河时代¦modern age::现代；当代¦stone age::石器时代¦digital age::数字时代；数字化时代¦age structure::年龄构成；年龄分布¦retirement age::退休年龄	Francis is the same age as me.::弗朗西斯和我同年岁。¦Experts disagree over the age of the drawings.::专家对这些画作的年代意见不统一。¦Dad retired at the age of 56.::爸爸是在56岁时退休的。	n::年龄；时代；寿命，使用年限；阶段::era, time, stage, phase, grade¦vi::成熟；变老::mature, flower¦vt::使成熟；使变老，使上年纪::grey, ripen	adj::ageing:: 变老的，老化的¦adj::aged:: 年老的；…岁的；老年人特有的¦adj::ageless:: 永恒的；不老的¦n::aging:: 老化；陈化，熟化¦n::ageing:: 老化；变老，成熟¦n::ageism:: 对老年人的歧视¦n::agedness:: 老年；高龄¦n::agism:: 歧视老年人（尤指在就业和住房方面）¦v::ageing:: 变老（age的现在分词）¦v::aged:: 老化（age的过去式）；成熟；变老					
ago	ə'ɡo	ə'gəʊ	adv::以前，以往::used to show how far back in the past something happened¦adj::以前的；过去的::¦n::(Ago)人名；(英、西、意、塞、瑞典)阿戈::		They moved to a new house some time ago (=  a fairly long time ago  ) .::他们搬进新居已有些日子了。¦We had our bicentenary celebrations not that long ago.::不久前，我们举行了200周年庆典活动。	adv::以前，以往::previously, formerly, back¦adj::以前的；过去的::previous, past, back						
agree	ə'ɡri	ə'griː	v::同意，赞成；承认；约定，商定::to have or express the same opinion about something as someone else	agree with::同意，和…意见一致¦agree on::对…取得一致意见¦agree in::在…方面意见一致；在…相同¦agree about::对…有相同的看法；就…取得一致意见¦agree upon::对…取得一致意见¦agree to do sth::赞成做某事¦agree to do something::同意做某事¦agree to disagree::消除分歧，求同存异；同意各自保留不同意见¦agree up sth::在某一点上取得一致意见	Teenagers and their parents rarely agree.::十几岁的孩子跟父母意见很少一致。	vt::同意；赞成；承认::undertake, accept, recognize, side, grant¦vi::同意；意见一致::accept, grant	adj::agreed:: 同意的；通过协议的¦n::agreement:: 协议；同意，一致¦n::agreeableness:: 适合；一致¦v::agreed:: 同意；赞成（agree的过去式）	differ			Don't worry! I'm sure you'll ______ your classmates if you are kind and friendly to them. ::3::1)catch up with 2)agree with 3)get on well with 4)make friend with::译文： 别担心！如果你对同学友善， 我相信你会和他们相处得很好的。 本题考查介词短语的辨析。catch up with意为“赶上”； agree with意为“同意”； get on well with意为“与…相处融洽”； make friend with意为“与…交朋友”。结合上下文， 本题选C。	
agreement	ə'grimənt	ə'griːm(ə)nt	n::协议；同意，一致::an arrangement or promise to do something, made by two or more people, companies, organizations etc	agreement with::同…达成协议¦agreement on::一致意见¦in agreement::一致；同意；意见一致¦in agreement with::同意；与…一致¦trade agreement::n. （国际）贸易协定；雇用合同；劳资协议¦reach an agreement::达成协议；取得一致意见，达成共识¦come to an agreement::v. 达成协议¦general agreement::总协定¦agency agreement::[经]代理协议；通汇契约¦by agreement::约好¦mutual agreement::双方协定¦written agreement::书面协定；成文契约¦arbitration agreement::仲裁协定¦service agreement::服务协议¦contract agreement::合同协议；承包合同¦license agreement::[经]许可证协议¦international agreement::国际协议；国际协定¦entire agreement::全部协议；完整合约¦loan agreement::贷款协议；借款合同¦bilateral agreement::双边协定	It is easier for two parties to reach agreement than for three.::两方达成一致比三方达成一致容易。	n::[法]协议；同意，一致::accordance, protocol, unity, identity, keeping	adj::agreed:: 同意的；通过协议的¦n::agreeableness:: 适合；一致¦v::agreed:: 同意；赞成（agree的过去式）¦vi::agree:: 同意；意见一致¦vt::agree:: 同意；赞成；承认					
air	ɛr	eə	n::空气，大气；天空；样子；曲调::the mixture of gases around the Earth, that we breathe¦v::使通风，晾干；夸耀::to let fresh air into a room, especially one that has been closed for a long time	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航	Let’s go outside and get some fresh air.::我们出去呼吸些新鲜空气吧。¦You need to put some air in the tyres.::你得给轮胎充气了。	n::[气象]空气，[地物]大气；天空；样子；曲调::atmosphere, heaven, sky, high, look¦vt::使通风，晾干；夸耀::sport, ventilate	adj::airy:: 空气的；通风的；幻想的；轻快的；空中的¦adj::airless:: 不通风的；没有风的；缺少空气的¦adj::airlike:: 似空气的¦n::airing:: 通风；晾干；（开车）兜风¦n::airer:: 干燥器；晾衣架¦n::airiness:: 通风；空虚；微妙¦v::airing:: 风干；烘热（air的ing形式）		 怒发(hair)冲冠， 神态(air)自然			
airline	'ɛrlaɪn	'eəlaɪn	n::航空公司；航线::a company that takes passengers and goods to different places by plane¦adj::航线的::	airline ticket::飞机票¦airline industry::航空公司；航线¦airline company::航空公司¦international airline::国际航线，国际航空公司¦airline pilot::航空公司飞行员¦major airline::干线航空公司¦united airline::联合航空公司（美国一家航空公司）	an airline pilot::航空公司飞行员	n::航空公司；[航]航线::vector, lane, airways	n::airliner:: 班机；大型客机		 air(天空)+line(线)→航线			
airplane	ˈerpleɪn	'eəpleɪn	n::飞机::a vehicle that flies through the air and has one or more engines	by airplane::搭飞机¦model airplane::航空模型¦fly an airplane::开飞机	The airplane cracked up in landing.::这架飞机在着陆时坠毁。¦The new airplane flies at twice the speed of sound.::这架新式飞机以两倍于音速的速度飞行。¦We beamed the airplane down safely.::我们给飞机导航使它安全降落。	n::[航]飞机::plane, aeroplane			 air(天空)+plane(飞机)→飞机			
airport	'ɛr'pɔrt	'eəpɔːt	n::机场；航空站::a place where planes take off and land, with buildings for passengers to wait in	international airport::国际机场¦airport bus::机场巴士；机场班车¦airport terminal::航站楼；机场候机楼¦heathrow airport::希思罗机场，位于英国伦敦¦beijing capital airport::北京首都机场¦destination airport::目的地机场；到达机场¦london airport::n. 伦敦机场¦kennedy airport::肯尼迪机场（美国纽约）¦airport tax::机场税（机场建设费）¦domestic airport::国内机场¦san francisco international airport::旧金山国际机场；三藩市国际机场¦airport construction fee::机场建设费¦airport facilities::飞机场设施¦airport of departure::始发站；始发站机场；启运机场	The plane landed at Heathrow Airport.::飞机降落在希思罗机场。¦Her family went to see her off at the airport.::她的家人去机场送她。	n::[航]机场；航空站::landing field, aeroport			 air(天空)+port(场所)→机场			
alive	ə'laɪv	ə'laɪv	adj::活着的；活泼的；有生气的::still living and not dead	alive with::充满着；洋溢着¦come alive::活跃起来；看上去像真的¦stay alive::活着；仍然活着¦alive and well::盛行的；依然存在的¦keep alive::点火电极；保持生机；使……活着¦alive and kicking::活蹦乱跳的¦any man alive::任何人¦be kept alive::使继续有效，使继续存在(或进行)¦more dead than alive::精疲力尽；累得要死¦skinned alive::严厉申斥；以压倒优势击败¦look alive::快点；注意	It was a bad accident – they’re lucky to be alive.::这是一宗严重事故——他们能活着实属幸运。¦My grandparents are still alive .::我的祖父母和外祖父母都还健在。¦We stayed alive by eating berries.::我们靠吃浆果活命。¦He was kept alive on a life-support machine.::他靠生命维持装置活着。¦Apparently he’s alive and well and living in Brazil.::看来他还健在，住在巴西。	adj::活着的；活泼的；有生气的::lively, activated	n::aliveness:: 活力					
