abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
lag	læɡ	læɡ	v::落后::to move or develop more slowly than others	lag behind::落后；拖欠¦time lag::时间间隔；[物]时间滞差¦shear lag::剪滞；剪力滞后¦jet lag::时差感，飞行时差反应¦lag time::滞后时间；时滞；时延；迟延时间¦cultural lag::n. 文化落后¦the lag between::在…之间的相隔时间¦lag phase::[医]迟滞期；停滞阶段¦phase lag::相位滞后¦lag angle::滞后角；迟延角¦lag screw::方头螺钉；板头尖端木螺钉¦lag compensation::滞后补偿	Western banks still lag behind financial institutions in most other regions of the country.::西部地区的银行仍然落后于这个国家其他大部分地区的金融机构。	n::落后；迟延；防护套；囚犯；桶板::backwardness, prisoner¦vt::落后于；押往监狱；加上外套::trail, take the dust of¦vi::[电子]滞后；缓缓而行；蹒跚::file over, titubate¦adj::最后的::finishing, last, eventual, rearmost, dernier	adj::lagging:: 落后的¦n::lagging:: 绝缘层材料¦n::lagger:: 落伍者；惯犯			...women lag behind men in pay and political power...::2013.12/CET6/阅读理解/第二套¦...and Native Americans lag far behind the graduation rates for whites and Asians...::2011.6/CET6/阅读理解/		
launch	lɔntʃ	lɔ:ntʃ	v::发布，推出::to make a new product, book etc available for sale for the first time	launch vehicle::运载火箭¦product launch::产品发布¦launch pad::n. 发射台¦launch site::发射场；发射区；活力地带（MSN的功能区之一）¦launch date::下水日期；发行日期；上市日期¦launch on::开始；着手¦launch into::进入，投入¦launch out::出航；开始新的事情¦quick launch::快速启动¦launch a satellite::发射卫星	The company hopes to launch the new drug by next October.::公司希望于明年10月前推出这种新药。	vt::[航]发射（导弹、火箭等）；发起，发动；使…下水::release, send, project, drive, let go¦vi::开始；下水；起飞::proceed, start in¦n::[航]发射；发行，投放市场；下水；汽艇::emission, shot, sending, projection, loose	n::launching:: 发射；下水；创设¦n::launcher:: 发射器；发射台；发射者¦v::launching:: 发射；发动；开始从事（launch的ing形式）			...With the launch of interactive advertising...::2016.6/CET6/阅读理解/第三套¦...It was this lack of information that prompted the launch of I'm First in 2013...::2015.12/CET6/阅读理解/第一套		
lawn	lɔn	lɔ:n	n::草坪::an area of ground in a garden or park that is covered with short grass	lawn mower::割草机¦lawn tennis::草地网球¦lawn chair::（美）草坪躺椅¦lawn bowling::（美）草地保龄球；草地滚球戏	I spent all morning mowing the lawn (= cutting the grass ).::我整个上午都在修剪草坪。¦a carefully tended lawn::受到细心呵护的草坪	n::[建]草地；草坪::grass, meadow				...A robotic lawn mower will run over a neighbor's cat...::2016.6/CET6/阅读理解/第二套¦...Why did the speaker mow the lawn herself that morning...::2011.6/CET6/听力题/		
layman	'lemən	'leɪmən	n::门外汉::someone who is not trained in a particular subject or type of work, especially when they are being compared with someone who is		To the layman (= laymen in general ) all these plants look pretty similar.::对外行的人来说，这些植物看起来都很相似。¦If you don’t understand what the doctor says, ask to have it explained in layman’s terms (= in simple language ).::如果你听不懂医生的话，就请他用通俗易懂的语言来解释一下。	n::外行；门外汉；俗人；一般信徒::layperson, lay people	adj::lay:: 世俗的；外行的¦n::lay:: 位置；短诗；花纹方向¦v::lay:: 躺；位于（lie的过去式）¦vi::lay:: 下蛋；打赌¦vt::lay:: 躺下；产卵；搁放		 lay(外行的) ＋ man(人) → 门外汉， 外行			
layout	'leaʊt	ˈleɪaʊt	n::陈列::	layout design::布图设计；布局设计；布线设计¦general layout::总体设计；总布置图¦page layout::页面布局¦plant layout::工厂布置，车间布置；设备布置¦layout plan::布置图；平面图¦system layout::系统配置¦site layout::场地布局¦keyboard layout::[计]键盘布局¦circuit layout::电路设计，电路草图¦process layout::分类布置；程序布置¦piping layout::管路布置；管道平面布置图¦stock layout::排样；板料排样¦physical layout::实体布局；实际布置图；物理布局¦machine layout::机械配置；机械布置¦standard layout::数的标准分布；标准布局；标准配置¦layout adjustment::布局调整；页面自动调整命令¦layout drawing::布置图；草图；配线图¦art layout::艺术设计¦layout area::详细规划区；蓝图区		n::布局；设计；安排；陈列::programming, exposure, disposal, showing, design						
legend	'lɛdʒənd	'ledʒənd	n::传奇::an old, well-known story, often about brave people, adventures, or magical events	urban legend::n. 都市传奇，传闻¦legend group::n. 联想集团（现名为lenovo）	Local legend has it that (= says that ) the island was the original Garden of Eden.::当地传说这个岛就是伊甸园的原型。	n::传奇；说明；[测]图例；刻印文字::explanation, notes, romance, illustration	adj::legendary:: 传说的，传奇的¦n::legendary:: 传说集；圣徒传		 联想集团(原名Legend)总裁柳传志是一位传奇人物			
legislation	,lɛdʒɪs'leʃən	ˌledʒɪsˈleɪʃn	n::立法::a law or set of laws	environmental legislation::环境立法¦subsidiary legislation::附属法例¦labour legislation::劳工法；劳动法规¦enabling legislation::赋权法例；授予权力的法例¦delegated legislation::授权立法	This is a very important piece of legislation (= law ).::这是一条非常重要的法规。	n::立法；法律::lawmaking, lex	adj::legislative:: 立法的；有立法权的¦adv::legislatively:: 立法地¦n::legislative:: 立法权；立法机构¦n::legislature:: 立法机关；立法机构¦n::legislator:: 立法者¦n::legislatorship:: 立法者的身份¦vi::legislate:: 立法；制定法律¦vt::legislate:: 用立法规定；通过立法			...The final legislation should...::2016.6/CET6/阅读理解/第二套¦...the UK National Stem Cell Network warned the UK could lose its place among the world leaders in stem cell research unless adequate funding and legislation could be assured...::2011.12/CET6/阅读理解/		
legislator	'lɛdʒɪsletɚ	ˈledʒɪsleɪtə(r)	n::立法者::someone who has the power to make laws or belongs to an institution that makes laws		...an attempt to get U.S. legislators to change the system.::…让美国立法者改变体制的一次努力。	n::[法]立法者::Moses, lawmaker	adj::legislative:: 立法的；有立法权的¦adv::legislatively:: 立法地¦n::legislation:: 立法；法律¦n::legislative:: 立法权；立法机构¦n::legislature:: 立法机关；立法机构¦n::legislatorship:: 立法者的身份¦vi::legislate:: 立法；制定法律¦vt::legislate:: 用立法规定；通过立法					
lest	lɛst	lest	conj::以免::in order to make sure that something will not happen		She turned away from the window lest anyone see them.::她转身离开窗边，免得有人看见他们。					...lest the relationship be misinterpreted...::2012.12/CET6/阅读理解/第三套		
lobby	'lɑbi	'lɒbɪ	n::游说::a group of people who try to persuade a government that a particular law or situation should be changed	hotel lobby::饭店大堂；宾馆大厅¦lobby lounge::大堂酒廊；大堂酒吧¦lobby for::游说议员；为…游说¦elevator lobby::n. 电梯门厅，电梯前廊¦lift lobby::升降机大堂；升降机门廊	the anti-foxhunting lobby::反对猎狐的游说团体¦a powerful environmental lobby group::一个有影响力的环保游说团体	n::大厅；休息室；会客室；游说议员的团体::sala, salle	n::lobbyist:: 说客；活动议案通过者¦n::lobbyism:: 院外活动；游说；疏通					
luxurious	lʌɡ'ʒʊrɪəs	lʌgˈʒʊəriəs	adj::奢侈的，豪华的::very expensive, beautiful, and comfortable		a luxurious 30-room villa::一栋有30个房间的豪华度假别墅	adj::奢侈的；丰富的；放纵的；特级的::abundant, super, full, extravagant	adj::luxury:: 奢侈的¦adj::luxuriant:: 繁茂的；丰富的；奢华的；肥沃的¦adv::luxuriously:: 豪华地；奢侈地¦adv::luxuriantly:: 丰富地；繁茂地¦n::luxury:: 奢侈，奢华；奢侈品；享受¦n::luxe:: （法）奢侈¦n::luxuriance:: 繁茂；丰富；肥沃；华美¦n::luxuriousness:: 豪华¦vi::luxuriate:: 沉溺；繁茂；生活奢侈					
magnify	'mæɡnɪfaɪ	'mæɡnɪfaɪ	v::放大::to make something seem bigger or louder, especially using special equipment		At the Sheffield arena, the speakers were magnified ten times on a giant screen.::在谢菲尔德体育馆，演讲者在一个巨大的屏幕上被放大了十倍。¦A public address system magnifies all the little noises and coughs.::扩音系统会放大任何细小的噪音和咳嗽声。	vt::放大；赞美；夸大::praise, celebrate, bless¦vi::放大；有放大能力::enlarge, zoom up	adj::magnified:: 放大的¦n::magnification:: 放大；放大率；放大的复制品¦n::magnifier:: [光] 放大镜；[电子] 放大器¦v::magnified:: 放大；夸张（magnify的过去分词）		 magn(大) ＋ ify(使…) → 使…大 → 放大， 扩大			
maintenance	'mentənəns	'meɪntənəns	n::维修::the repairs, painting etc that are necessary to keep something in good condition	operation and maintenance::使用和维护¦equipment maintenance::设备维修；设备保养¦maintenance cost::维护费用¦preventive maintenance::预防性维修；定期检修¦maintenance work::维修工作¦system maintenance::系统维护，系统维修¦maintenance and repair::保养和修理¦maintenance management::维修管理¦maintenance service::维护服务；技术维修，技术维护¦repair and maintenance::检修；修理和维护¦vehicle maintenance::汽车维护，车辆保养¦daily maintenance::日常保养，日常维护¦routine maintenance::日常维修；例行维护¦maintenance personnel::维修人员¦maintenance plan::技术维护计划¦low maintenance::少量维护保养；维修费用低；工作量不大的技术维护¦network maintenance::网络维护¦maintenance department::维修部；保养部¦machine maintenance::n. 机器保养¦software maintenance::软件维护；软件服务	the cost of repairs and maintenance::维修保养费¦The theatres were closed on Saturday and Sunday for routine maintenance .::戏院周六和周日关闭进行例行维护。¦Engineers are carrying out essential maintenance work on the main line to Cambridge.::机修工正在对通往剑桥的干线进行必要的养护。¦an evening class in car maintenance::汽车保养的夜校课程	n::维护，维修；保持；[经]生活费用::conservation, keep	adj::maintainable:: 可维持的；可主张的；可维修的¦n::maintainer:: 维修工；保持器¦vt::maintain:: 维持；继续；维修；主张；供养			...and maintenance grants have been replaced by loans meaning that students from poorer backgrounds face higher debt than those with wealthier parents...::2016.12/CET6/阅读理解/第一套¦...they continue to generate maintenance expenses that contribute to the high cost of running a college...::2012.6/CET6/阅读理解/		
