internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
vicinity	və'sɪnəti	vəˈsɪnəti	n::附近，邻近； 附近地区::in the area around a particular place	in the vicinity of::在…附近；在…上下¦in the vicinity::在附近¦immediate vicinity::紧邻	The stolen car was found in the vicinity of the station.::被盗汽车在车站附近被发现。¦There used to be a mill in the vicinity.::附近曾有一座磨坊。		adj::vicinal:: 附近的；本地的；邻晶的					
dizzy	'dɪzi	ˈdɪzi	adj::头昏眼花的::	feel dizzy::头晕；感到晕眩	The heat and the champagne made him feel dizzy .::高温和香槟酒使他感到眩晕。	adj::晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的::swimming, foolish, stupid¦vt::使头晕眼花；使混乱；使茫然::cloud, confuse	adv::dizzily:: 使人眼花地；头昏眼花地¦n::dizziness:: 头晕；头昏眼花					
dreadful	'drɛdfəl	ˈdredfl	adj::可怕的； 令人畏惧的::used to emphasize how bad something or someone is		a dreadful mistake::可怕的错误	adj::可怕的；糟透的，令人不快的::terrible, painful, horrible, awesome, fearful	adj::dread:: 可怕的¦adj::dreaded:: 令人畏惧的，可怕的¦adv::dreadfully:: 可怕地；极其¦n::dread:: 恐惧；可怕的人（或物）¦v::dreaded:: 惧怕（dread的过去分词）¦vi::dread:: 惧怕；担心¦vt::dread:: 惧怕；担心					
whereabouts	'hwɛrə,baʊts; 'wɛrə,baʊts	ˈweərəbaʊts	adv::在什么地方::		Whereabouts do you live?::你住在哪一带？		adv::wherewithal:: 用什么¦conj::wherewithal:: 用以（等于wherewith）¦n::wherewithal:: 必要的资金（或手段）					
vehemently	'viəməntli	'vi:iməntli	adv::竭尽全力地::			adv::激烈地；暴烈地；竭尽全力地::strongly, bitter	adj::vehement:: 激烈的，猛烈的；热烈的¦n::vehemence:: 激烈；热烈					
purposeless	'pɝpəsləs	ˈpɜ:pəsləs	adj::无目的的::not having a clear aim or purpose		hours of purposeless activity::几小时漫无目的的活动	adj::无目的的；无益的；缺乏决心的::meaningless, objectless	adj::purposeful:: 有目的的；有决心的¦adj::purposive:: 有目的的；故意的¦adv::purposefully:: 有目的地；自觉地¦n::purpose:: 目的；用途；意志¦n::purposefulness:: 目的性；意志坚强¦n::purposelessness:: 无目的¦vt::purpose:: 决心；企图；打算					
coin	kɔɪn	kɔɪn	v::创造::to invent a new word or expression, especially one that many people start to use	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币	The word ‘aromatherapy’ was coined in the 1920s. aromatherapy::（芳香疗法）这个词是在20世纪20年代创造出来的。	vt::铸造（货币）；杜撰，创造::invent, to create¦n::硬币，钱币::piece, specie	n::coinage:: 造币；[金融] 货币制度；新造的字及其语等¦n::coiner:: 创造者；伪造货币者；造币者					
legitimate	ləˈdʒɪtəmɪt	lɪˈdʒɪtɪmət	adj::合法的，合理的::fair or reasonable	legitimate authority::法定职权；合法权威¦legitimate interest::合法权益；合法利益¦legitimate income::[经]正当收入	That’s a perfectly legitimate question.::那个问题完全合乎情理。¦Most scientists believe it is legitimate to use animals in medical research.::大多数科学家认为用动物作医学研究是正当的。	adj::合法的；正当的；合理的；正统的::legal, reasonable, valid, logical, rational	adj::legitimatize:: 合法的；正当的¦adv::legitimately:: 合理地；正当地¦n::legitimacy:: 合法；合理；正统¦n::legitimation:: 合法化；承认为嫡出¦vt::legitimize:: 使…合法；立为嫡嗣¦vt::legitimise:: 使合法化（等于legitimize）¦vt::legitimatize:: 使合法化（等于legitimize）					
consensual	kən'sɛnʃuəl	kənˈsenʃuəl	adj::经双方同意的，一致同意的::involving the agreement of all or most people in a group		a consensual style of management::一致同意的管理风格		adj::consentaneous:: 同意的，一致的¦adj::consentient:: 同意的；无异议的¦n::consent:: 同意；（意见等的）一致；赞成¦vi::consent:: 同意；赞成；答应					
hallucination	hə,lusɪ'neʃən	həˌlu:sɪˈneɪʃn	n::幻觉，幻想::something which you imagine you can see or hear, but which is not really there, or the experience of this	auditory hallucination::幻听；听幻觉	The patients suffered hallucinations caused by the drug.::病人受药物影响产生了幻觉。	n::[心理]幻觉，幻想；错觉::fantasm, acoasm	adj::hallucinatory:: 引起幻觉的¦adj::hallucinogenic:: 引起幻觉的；迷幻药的¦n::hallucinosis:: 幻觉性精神病¦vi::hallucinate:: 出现幻觉¦vt::hallucinate:: 使产生幻觉					
graphic	'græfɪk	ˈgræfɪk	adj::图解的，用图表示的::Graphic means concerned with drawing or pictures, especially in publishing, industry, or computing	graphic design::平面造型设计；图示设计¦graphic method::图解法；图示法¦graphic designer::美术设计员¦graphic arts::平面艺术（含版画与刻印等）；形象艺术¦graphic display::图形显示；图形显示器，图形显示系统¦graphic representation::图示法¦graphic symbol::图形符号¦graphic model::立体图¦graphic card::图形卡¦graphic artist::艺术家¦graphic presentation::图示¦graphic equalizer::图示均衡器；图表均衡器¦graphic object::[计]图形对象；图形目标	...fine and graphic arts.::…美术与制图艺术。	adj::形象的；图表的；绘画似的::ikonic, imagic	adj::graphical:: 图解的；绘画的；生动的¦adv::graphically:: 生动地；活灵活现地；用图表表示；轮廓分明地¦n::graph:: 图表；曲线图¦n::graphics:: [测] 制图学；制图法；图表算法¦n::graphology:: 笔迹学；笔迹相法；图表法¦vt::graph:: 用曲线图表示					
prescient	'prɛsɪənt	ˈpresiənt	adj::有先见之明的::If you say that someone or something was prescient, you mean that they were able to know or predict what was going to happen in the future		...an eerily prescient comedy about a populist multimillionaire political candidate.::...围绕一位身价数百万的民粹主义政治候选人的一部喜剧，其预见性近乎诡异。	adj::预知的；有先见之明的::provident, previsional	n::prescience:: 先见；预知					
myriad	'miriəd	ˈmɪriəd	adj::无数的； 多种的::very many	a myriad of::大量的；无数的	the myriad causes of homelessness::导致人们无家可归的种种原因	adj::无数的；种种的::thousand, countless, million, infinite, innumerable¦n::无数，极大数量；无数的人或物::million, innumerability						
tremendous	trə'mɛndəs	trəˈmendəs	adj::极大的, 巨大的::very big, fast, powerful etc		Suddenly, there was a tremendous bang, and the whole station shook.::突然一声巨响，整个车站都晃动了。¦She was making a tremendous effort to appear calm.::她竭力表现出平静的样子。¦She praised her husband for the tremendous support he had given her.::她称赞丈夫给了她巨大支持。¦Sales have been tremendous so far this year.::今年到目前为止，销售额十分惊人。¦This plan could save us a tremendous amount of money.::这个计划能给我们节省一大笔钱。	adj::极大的，巨大的；惊人的::huge, enormous, massive, macro, vast	adv::tremendously:: 非常地；可怕地；惊人地					
breach	britʃ	bri:tʃiz	n::破裂； 缺口；漏洞::a serious disagreement between people, groups, or countries	breach of contract::违约；违反合同¦material breach::重大违约；实质违约¦breach of trust::[律]违反信托¦breach of duty::失职；违反职责¦anticipatory breach::期前违约¦security breach::安全漏洞¦breach of warranty::违反保证；违背诺言¦breach of faith::背信，违约¦be in breach of::违反¦a clear breach::【航海学】无碍冲刷浪(冲过甲板而未损害物件)¦fundamental breach::根本性违约；重大违约；根本违反合同	She wanted to help heal the breach between them.::她想帮助他们修复破裂的关系。	n::违背，违反；缺口::separation, gap, violation, infringement¦vt::违反，破坏；打破::destroy, violate						
prominent	'prɑmɪnənt	ˈprɒmɪnənt	adj::突出的，杰出的::important	prominent feature::突出特征；显著地物¦prominent character::主要特性	a prominent Russian scientist::杰出的俄罗斯科学家¦The World Cup will have a prominent place on the agenda.::世界杯赛将占据议程表的重要位置。	adj::突出的，显著的；杰出的；卓越的::obvious, excellent, remarkable, brilliant, marked	adv::prominently:: 显著地¦n::prominence:: 突出；显著；突出物；卓越					
surveillance	sɝ'veləns	sɜ:ˈveɪləns	n::监视，监控::when the police, army etc watch a person or place carefully because they may be connected with criminal activities	surveillance system::n. 观测系统，监视系统¦surveillance radar::监视雷达¦electronic surveillance::电子监视¦surveillance ship::侦察船，监视船¦immune surveillance::免疫监督	electronic surveillance equipment::电子监控设备	n::监督；监视::supervision, observation, monitoring, watch, oversight	vt::surveil:: 使受监视；对…实施监视					
contractor	kən'træktɚ	kənˈtræktə(r)	n::订约人，承包人::A contractor is a person or company that does work for other people or organizations	general contractor::总承包人；建筑公司¦project contractor::工程承包；项目承包人¦independent contractor::独立承揽人¦building contractor::建筑承包商¦prime contractor::总承包人；主要承包商	We told the building contractor that we wanted a garage big enough for two cars.::我们告诉建筑承包商，我们想要一个可以停放两辆汽车的车库。	n::[经]承包人；立契约者::entrepreneur	adj::contractual:: 契约的，合同的¦adv::contractually:: 合约地；合同性地；契约规定地¦n::contract:: 合同；婚约¦vi::contract:: 收缩；感染；订约¦vt::contract:: 感染；订约；使缩短					
domain	do'men	dəˈmeɪn	n::范围，领域::an area of activity, interest, or knowledge, especially one that a particular person, organization etc deals with	domain name::网域名称¦time domain::时域，时间域¦frequency domain::[化]频域；频率范围¦public domain::公共域；公有土地¦domain knowledge::领域知识¦spatial domain::空间域¦domain decomposition::域分解；区域分解¦domain model::域模型；领域模型¦domain name system::［计］域名系统¦domain controller::域控制器¦domain name service::域名服务¦top-level domain::一级域名¦domain theory::领域理论；畴理论¦eminent domain::[律]土地征用权；国家最高支配权¦single domain::单域；单畴；单一网域¦domain wall::畴壁¦magnetic domain::磁畴；磁场范围¦complex domain::复数域¦digital domain::数字领域¦cognitive domain::认知领域	Looking after the house was viewed as a woman’s domain.::料理家务被认为是女性的份内之事。	n::领域；域名；产业；地产::province, territory, world, industry, kingdom, universe, field						
sabotage	,sæbə'tɑʒ	ˈsæbətɑ:ʒ	n::破坏活动::deliberate damage that is done to equipment, vehicles etc in order to prevent an enemy or opponent from using them		The terrorists were planning acts of sabotage to destabilize the country.::恐怖分子在策划破坏国家安定的行动。¦industrial sabotage::工业破坏活动	vt::妨害；对…采取破坏行动::encumber, incumber¦n::破坏；破坏活动；怠工::destruction, breaking, blasting, disruption, demolition						
affiliate	ə'fɪlɪet	əˈfɪlieɪt	v::附属于::if a group or organization affiliates to or with another larger one, it forms a close connection with it	affiliate marketing::联盟营销；从属营销¦affiliate program::联盟计划；伙伴计划¦affiliate with::v. 交往¦affiliate company::联营公司	What of the affiliate groups or the "network of networks"?::那些附属组织或者称“网络的网络”又将怎样？¦Afterwards, data can be shared between and among the root and affiliate registries with the assurance that each given key partition is unique.::这样，在确保每一个给定的键分区是唯一的情况下，根注册中心和附属注册中心之间就可以共享数据了。	n::联号；隶属的机构等::associated company¦vt::使附属；接纳；使紧密联系::receive, take on sb¦vi::参加，加入；发生联系::participate in, take part in, go through	adj::affiliated:: 附属的；有关连的¦n::affiliation:: 友好关系；加入；联盟；从属关系¦v::affiliated:: 使隶属；加入（affiliate的过去分词）					
controversial	,kɑntrə'vɝʃl	ˌkɒntrəˈvɜ:ʃl	adj::有争议的，引起争议的::causing a lot of disagreement, because many people have strong opinions about the subject being discussed		the controversial issue of welfare reform::福利改革这一有争议的话题¦a highly controversial (= very controversial ) plan to flood the valley in order to build a dam::一个把山谷淹掉来建造水坝的极具争议的计划¦He is a controversial figure (= person who does controversial things ) in the art world.::他是艺术界极具争议的人物。	adj::有争议的；有争论的::disputed, questioned	adv::controversially:: 颇有争议地；引起争议地¦n::controversy:: 争论；论战；辩论¦vi::controvert:: 争论；辩论¦vt::controvert:: 驳斥；就…展开争论					
contradictory	,kɑntrə'dɪktəri	ˌkɒntrəˈdɪktəri	adj::矛盾的::two statements, beliefs etc that are contradictory are different and therefore cannot both be true or correct		Customs officials have made a series of contradictory statements about the equipment.::海关官员们对于这种设备做出了一系列相互矛盾的陈述。	adj::[数]矛盾的；反对的；反驳的；抗辩的::anti, conflictive	adv::contradictorily:: 矛盾地；反驳地；逆¦n::contradiction:: 矛盾；否认；反驳¦n::contradictoriness:: 矛盾性¦vi::contradict:: 反驳；否认；发生矛盾¦vt::contradict:: 反驳；否定；与…矛盾；与…抵触					
complementary	'kɑmplə'mɛntri	ˌkɒmplɪˈmentri	adj::互补的::complementary things go well together, although they are usually different	complementary function::余函数¦complementary product::补充产品；互补产品¦complementary metal oxide semiconductor::互补金属氧化物半导体¦complementary color::互补色，补色	The computer and the human mind have different but complementary abilities.::电脑与人脑各不相同，却又互为补充。	adj::[数][摄]补足的，补充的::supplementary, adscititious	adj::complemental:: 补足的；补充的；补偿的¦n::complement:: 补语；余角；补足物¦n::complementarity:: 互补性；补充；补足¦vt::complement:: 补足，补助					
